dataset,partition,label,count,proportion
CIC18,original,0,2126125,0.6113197923130049
CIC18,original,1,575364,0.16543307706949487
CIC18,original,2,198861,0.057178042316023976
CIC18,original,3,145199,0.04174873185915974
CIC18,original,4,144535,0.04155781347849264
CIC18,original,5,139775,0.04018918171346946
CIC18,original,6,94048,0.027041403411113406
CIC18,original,7,41406,0.01190537118961128
CIC18,original,8,9908,0.0028488242705566476
CIC18,original,9,1730,0.0004974228893886758
CIC18,original,10,555,0.00015957786335879488
CIC18,original,11,228,6.55563114338833e-05
CIC18,original,12,84,2.41523252651149e-05
CIC18,original,13,55,1.581402249501571e-05
CIC18,original,14,53,1.523896713156059e-05
CIC18,train,0,1700900,0.6113201877988268
CIC18,train,1,460291,0.1654331122124227
CIC18,train,2,159089,0.05717815118862223
CIC18,train,3,116159,0.04174868698602147
CIC18,train,4,115628,0.04155784036380901
CIC18,train,5,111820,0.04018920771336634
CIC18,train,6,75238,0.02704127714128293
CIC18,train,7,33125,0.011905450773611699
CIC18,train,8,7926,0.002848682349634606
CIC18,train,9,1384,0.0004974232111902971
CIC18,train,10,444,0.00015957796659573116
CIC18,train,11,182,6.541258991086277e-05
CIC18,train,12,67,2.40804589232297e-05
CIC18,train,13,44,1.5814032725703086e-05
CIC18,train,14,42,1.5095213056352946e-05
CIC18,test,0,425225,0.6113182103748345
CIC18,test,1,115073,0.16543293649823818
CIC18,test,2,39772,0.05717760682703961
CIC18,test,3,29040,0.041748911351132206
CIC18,test,4,28907,0.041557705937575025
CIC18,test,5,27955,0.04018907771421835
CIC18,test,6,18810,0.027041908488801544
CIC18,test,7,8281,0.011905052854639319
CIC18,test,8,1982,0.002849391952408541
CIC18,test,9,346,0.0004974216021863549
CIC18,test,10,111,0.00015957745041238552
CIC18,test,11,46,6.6131195666394e-05
CIC18,test,12,17,2.443978970279778e-05
CIC18,test,13,11,1.5813981572398563e-05
CIC18,test,14,11,1.5813981572398563e-05
